date,volume,open,high,low,close
2017/11/14,"17,229,176",241.0,241.0,239.0,240.0
2017/11/15,"29,720,308",239.0,239.5,236.0,237.5
2017/11/16,"17,274,172",238.0,240.0,237.5,238.0
2017/11/17,"18,741,825",240.5,242.5,240.5,241.5
2017/11/20,"19,811,271",241.0,241.5,238.0,238.5
2017/11/21,"22,878,024",240.0,243.0,239.5,243.0
2017/11/22,"27,251,431",244.5,244.5,242.0,242.0
2017/11/23,"9,562,763",242.0,243.5,241.5,242.5
2017/11/24,"11,404,453",242.0,244.5,241.5,244.0
2017/11/27,"32,247,327",240.0,240.0,237.0,237.0
2017/11/28,"47,834,178",234.5,235.0,233.0,234.0
2017/11/29,"26,535,797",235.0,236.0,234.5,234.5
2017/11/30,"112,262,770",226.5,230.5,226.0,226.0
2017/12/04,"22,939,032",232.5,234.5,231.0,234.0
2017/12/05,"30,189,765",231.0,231.0,228.5,229.5
2017/12/06,"34,031,690",228.0,229.5,226.5,227.0
2017/12/07,"41,619,903",226.5,226.5,222.5,226.5
2017/12/08,"38,183,260",231.0,231.0,224.5,227.0
2017/12/11,"20,649,609",228.5,229.0,227.0,227.5
2017/12/12,"28,188,584",229.5,229.5,225.0,227.5
2017/12/13,"19,619,331",227.5,228.0,226.5,227.0
2017/12/14,"17,263,313",228.0,230.5,227.5,230.5
2017/12/15,"42,725,779",228.5,230.0,226.5,230.0
2017/12/18,"15,702,664",227.0,228.0,226.5,227.0
2017/12/19,"25,899,129",226.5,228.5,224.0,225.0
2017/12/20,"34,514,333",225.0,225.5,223.5,224.5
2017/12/21,"20,826,164",226.5,227.0,224.5,225.0
2017/12/22,"19,106,483",225.0,227.5,224.0,227.5
2017/12/25,"4,579,675",228.0,229.5,226.5,228.5
2017/12/26,"13,755,843",229.0,229.0,225.0,226.0
2017/12/27,"12,515,245",225.0,226.0,225.0,225.0
2017/12/28,"24,370,371",226.5,228.0,225.0,226.0
2017/12/29,"25,610,443",227.5,230.0,226.5,229.5
2018/01/03,"31,706,091",236.0,238.0,235.5,237.0
2018/01/04,"29,179,613",240.0,240.0,236.5,239.5
2018/01/05,"23,721,255",240.0,240.0,238.0,240.0
2018/01/08,"21,846,692",242.0,242.5,240.5,242.0
2018/01/09,"19,043,123",242.0,242.0,239.5,242.0
2018/01/10,"25,716,220",241.5,242.0,236.0,236.5
